,번호,정답,난이도,배점,정답률,선지1,선지2,선지3,선지4,선지5,시험과목,시험일,시험구분
2300,21,192,상,4,30%,70% (주관식),,,,,미적분,2021.09.01,모의평가
2301,22,108,최상,4,11%,89% (주관식),,,,,미적분,2021.09.01,모의평가
2302,23,3,하,2,94%,4%,1%,94%,1%,1%,미적분,2021.09.01,모의평가
2303,24,2,하,3,91%,1%,91%,2%,4%,1%,미적분,2021.09.01,모의평가
2304,25,4,하,3,92%,1%,3%,2%,92%,2%,미적분,2021.09.01,모의평가
2305,26,2,중하,3,83%,4%,83%,6%,4%,4%,미적분,2021.09.01,모의평가
2306,27,3,중상,3,54%,12%,7%,54%,9%,18%,미적분,2021.09.01,모의평가
2307,28,1,상,4,46%,46%,7%,11%,14%,22%,미적분,2021.09.01,모의평가
2308,29,24,최상,4,29%,71% (주관식),,,,,미적분,2021.09.01,모의평가
2309,30,115,최상,4,8%,92% (주관식),,,,,미적분,2021.09.01,모의평가
2310,1,1,하,2,96%,96%,1%,1%,1%,1%,기하,2021.09.01,모의평가
2311,2,5,하,2,96%,1%,1%,1%,1%,96%,기하,2021.09.01,모의평가
2312,3,5,하,3,93%,1%,1%,2%,2%,93%,기하,2021.09.01,모의평가
2313,4,4,하,3,94%,1%,2%,2%,94%,1%,기하,2021.09.01,모의평가
2314,5,3,하,3,94%,2%,2%,94%,2%,1%,기하,2021.09.01,모의평가
2315,6,1,중하,3,86%,86%,4%,1%,2%,6%,기하,2021.09.01,모의평가
2316,7,4,중하,3,83%,3%,7%,4%,83%,3%,기하,2021.09.01,모의평가
2317,8,2,중하,3,87%,6%,87%,3%,3%,1%,기하,2021.09.01,모의평가
2318,9,3,하,4,92%,2%,2%,92%,3%,1%,기하,2021.09.01,모의평가
2319,10,3,중하,4,85%,2%,4%,85%,6%,4%,기하,2021.09.01,모의평가
2320,11,4,중,4,79%,4%,7%,5%,79%,5%,기하,2021.09.01,모의평가
2321,12,2,중하,4,82%,4%,82%,7%,4%,3%,기하,2021.09.01,모의평가
2322,13,2,중,4,63%,7%,63%,9%,12%,8%,기하,2021.09.01,모의평가
2323,14,5,중,4,65%,4%,13%,12%,7%,65%,기하,2021.09.01,모의평가
2324,15,1,상,4,41%,41%,14%,15%,15%,15%,기하,2021.09.01,모의평가
2325,16,2,하,3,94%,6% (주관식),,,,,기하,2021.09.01,모의평가
2326,17,8,하,3,93%,7% (주관식),,,,,기하,2021.09.01,모의평가
2327,18,9,중하,3,83%,17% (주관식),,,,,기하,2021.09.01,모의평가
2328,19,11,중,3,79%,21% (주관식),,,,,기하,2021.09.01,모의평가
2329,20,21,상,4,37%,63% (주관식),,,,,기하,2021.09.01,모의평가
2330,21,192,최상,4,26%,74% (주관식),,,,,기하,2021.09.01,모의평가
2331,22,108,최상,4,6%,94% (주관식),,,,,기하,2021.09.01,모의평가
2332,23,5,하,2,91%,2%,2%,3%,3%,91%,기하,2021.09.01,모의평가
2333,24,4,하,3,92%,2%,3%,2%,92%,1%,기하,2021.09.01,모의평가
2334,25,2,중,3,71%,5%,71%,13%,8%,3%,기하,2021.09.01,모의평가
2335,26,3,중하,3,81%,4%,7%,81%,5%,4%,기하,2021.09.01,모의평가
2336,27,1,중하,3,80%,80%,6%,6%,4%,4%,기하,2021.09.01,모의평가
2337,28,1,중,4,64%,64%,10%,12%,7%,7%,기하,2021.09.01,모의평가
2338,29,40,상,4,31%,69% (주관식),,,,,기하,2021.09.01,모의평가
2339,30,45,최상,4,10%,90% (주관식),,,,,기하,2021.09.01,모의평가
2340,1,5,하,2,92%,2%,1%,2%,3%,92%,확률과통계,2021.07.07,학력평가
2341,2,4,중하,2,86%,2%,5%,3%,86%,4%,확률과통계,2021.07.07,학력평가
2342,3,2,하,3,91%,4%,91%,3%,2%,1%,확률과통계,2021.07.07,학력평가
2343,4,3,하,3,90%,2%,3%,90%,3%,2%,확률과통계,2021.07.07,학력평가
2344,5,3,하,3,90%,3%,2%,90%,3%,2%,확률과통계,2021.07.07,학력평가
2345,6,4,중하,3,80%,6%,4%,4%,80%,5%,확률과통계,2021.07.07,학력평가
2346,7,4,중하,3,88%,3%,3%,4%,88%,2%,확률과통계,2021.07.07,학력평가
2347,8,2,중하,3,80%,4%,80%,5%,8%,3%,확률과통계,2021.07.07,학력평가
2348,9,3,중하,4,81%,6%,3%,81%,5%,4%,확률과통계,2021.07.07,학력평가
2349,10,5,중,4,67%,7%,10%,7%,10%,67%,확률과통계,2021.07.07,학력평가
2350,11,4,중,4,75%,6%,6%,7%,75%,6%,확률과통계,2021.07.07,학력평가
2351,12,1,중,4,70%,70%,7%,9%,7%,7%,확률과통계,2021.07.07,학력평가
2352,13,1,중상,4,52%,52%,11%,14%,12%,11%,확률과통계,2021.07.07,학력평가
2353,14,5,중상,4,53%,8%,25%,8%,6%,53%,확률과통계,2021.07.07,학력평가
2354,15,2,상,4,44%,17%,44%,13%,14%,12%,확률과통계,2021.07.07,학력평가
2355,16,5,중하,3,86%,14% (주관식),,,,,확률과통계,2021.07.07,학력평가
2356,17,17,중하,3,86%,14% (주관식),,,,,확률과통계,2021.07.07,학력평가
2357,18,13,중,3,74%,26% (주관식),,,,,확률과통계,2021.07.07,학력평가
2358,19,24,중,3,67%,33% (주관식),,,,,확률과통계,2021.07.07,학력평가
2359,20,27,상,4,38%,62% (주관식),,,,,확률과통계,2021.07.07,학력평가
2360,21,117,최상,4,20%,80% (주관식),,,,,확률과통계,2021.07.07,학력평가
2361,22,64,최상,4,11%,89% (주관식),,,,,확률과통계,2021.07.07,학력평가
2362,23,5,하,2,91%,2%,2%,2%,3%,91%,확률과통계,2021.07.07,학력평가
2363,24,3,하,3,91%,2%,3%,91%,3%,1%,확률과통계,2021.07.07,학력평가
2364,25,2,중하,3,85%,3%,85%,4%,7%,2%,확률과통계,2021.07.07,학력평가
2365,26,1,중,3,72%,72%,6%,8%,10%,4%,확률과통계,2021.07.07,학력평가
2366,27,4,중,3,78%,6%,5%,7%,78%,4%,확률과통계,2021.07.07,학력평가
2367,28,5,상,4,45%,11%,13%,19%,12%,45%,확률과통계,2021.07.07,학력평가
2368,29,25,최상,4,22%,78% (주관식),,,,,확률과통계,2021.07.07,학력평가
2369,30,51,최상,4,7%,93% (주관식),,,,,확률과통계,2021.07.07,학력평가
2370,1,5,하,2,97%,1%,1%,1%,1%,97%,미적분,2021.07.07,학력평가
2371,2,4,하,2,96%,1%,1%,1%,96%,1%,미적분,2021.07.07,학력평가
2372,3,2,하,3,97%,1%,97%,1%,1%,0%,미적분,2021.07.07,학력평가
2373,4,3,하,3,96%,1%,1%,96%,1%,1%,미적분,2021.07.07,학력평가
2374,5,3,하,3,96%,1%,1%,96%,1%,1%,미적분,2021.07.07,학력평가
2375,6,4,하,3,93%,3%,1%,1%,93%,1%,미적분,2021.07.07,학력평가
2376,7,4,하,3,95%,1%,1%,1%,95%,1%,미적분,2021.07.07,학력평가
2377,8,2,하,3,92%,2%,92%,1%,3%,1%,미적분,2021.07.07,학력평가
2378,9,3,하,4,93%,2%,1%,93%,2%,2%,미적분,2021.07.07,학력평가
2379,10,5,중하,4,85%,4%,5%,3%,3%,85%,미적분,2021.07.07,학력평가
2380,11,4,하,4,91%,2%,2%,2%,91%,3%,미적분,2021.07.07,학력평가
2381,12,1,중하,4,89%,89%,3%,3%,2%,3%,미적분,2021.07.07,학력평가
2382,13,1,중,4,76%,76%,6%,7%,5%,6%,미적분,2021.07.07,학력평가
2383,14,5,중,4,76%,3%,17%,3%,2%,76%,미적분,2021.07.07,학력평가
2384,15,2,중,4,73%,8%,73%,7%,7%,6%,미적분,2021.07.07,학력평가
2385,16,5,하,3,94%,6% (주관식),,,,,미적분,2021.07.07,학력평가
2386,17,17,하,3,95%,5% (주관식),,,,,미적분,2021.07.07,학력평가
2387,18,13,하,3,91%,9% (주관식),,,,,미적분,2021.07.07,학력평가
2388,19,24,중하,3,87%,13% (주관식),,,,,미적분,2021.07.07,학력평가
2389,20,27,중,4,64%,36% (주관식),,,,,미적분,2021.07.07,학력평가
2390,21,117,상,4,44%,56% (주관식),,,,,미적분,2021.07.07,학력평가
2391,22,64,최상,4,28%,72% (주관식),,,,,미적분,2021.07.07,학력평가
2392,23,1,하,2,93%,93%,1%,3%,1%,1%,미적분,2021.07.07,학력평가
2393,24,5,중하,3,83%,2%,5%,7%,4%,83%,미적분,2021.07.07,학력평가
2394,25,4,중하,3,87%,5%,4%,3%,87%,1%,미적분,2021.07.07,학력평가
2395,26,3,중하,3,80%,3%,6%,80%,9%,3%,미적분,2021.07.07,학력평가
2396,27,1,중하,3,84%,84%,5%,4%,4%,3%,미적분,2021.07.07,학력평가
2397,28,2,중,4,62%,6%,62%,11%,13%,8%,미적분,2021.07.07,학력평가
2398,29,15,상,4,39%,61% (주관식),,,,,미적분,2021.07.07,학력평가
2399,30,586,최상,4,17%,83% (주관식),,,,,미적분,2021.07.07,학력평가
2400,1,5,하,2,95%,1%,1%,1%,1%,95%,기하,2021.07.07,학력평가
2401,2,4,하,2,92%,1%,3%,1%,92%,2%,기하,2021.07.07,학력평가
2402,3,2,하,3,95%,2%,95%,1%,1%,0%,기하,2021.07.07,학력평가
2403,4,3,하,3,95%,1%,2%,95%,1%,1%,기하,2021.07.07,학력평가
2404,5,3,하,3,94%,2%,1%,94%,2%,1%,기하,2021.07.07,학력평가
2405,6,4,하,3,90%,4%,2%,2%,90%,2%,기하,2021.07.07,학력평가
2406,7,4,하,3,94%,2%,2%,2%,94%,1%,기하,2021.07.07,학력평가
2407,8,2,중하,3,88%,3%,88%,2%,4%,2%,기하,2021.07.07,학력평가
2408,9,3,하,4,90%,4%,2%,90%,2%,2%,기하,2021.07.07,학력평가
2409,10,5,중하,4,80%,5%,6%,4%,5%,80%,기하,2021.07.07,학력평가
2410,11,4,중하,4,86%,3%,3%,4%,86%,4%,기하,2021.07.07,학력평가
2411,12,1,중하,4,84%,84%,4%,5%,3%,4%,기하,2021.07.07,학력평가
2412,13,1,중,4,68%,68%,8%,9%,8%,8%,기하,2021.07.07,학력평가
2413,14,5,중,4,68%,5%,20%,5%,2%,68%,기하,2021.07.07,학력평가
2414,15,2,중,4,61%,13%,61%,9%,9%,8%,기하,2021.07.07,학력평가
2415,16,5,하,3,92%,8% (주관식),,,,,기하,2021.07.07,학력평가
2416,17,17,하,3,92%,8% (주관식),,,,,기하,2021.07.07,학력평가
2417,18,13,중하,3,86%,14% (주관식),,,,,기하,2021.07.07,학력평가
2418,19,24,중하,3,81%,19% (주관식),,,,,기하,2021.07.07,학력평가
2419,20,27,중,4,60%,40% (주관식),,,,,기하,2021.07.07,학력평가
2420,21,117,상,4,33%,67% (주관식),,,,,기하,2021.07.07,학력평가
2421,22,64,최상,4,21%,79% (주관식),,,,,기하,2021.07.07,학력평가
2422,23,4,하,2,92%,2%,2%,4%,92%,1%,기하,2021.07.07,학력평가
2423,24,2,중하,3,85%,3%,85%,5%,5%,2%,기하,2021.07.07,학력평가
2424,25,5,중,3,75%,4%,4%,6%,11%,75%,기하,2021.07.07,학력평가
2425,26,1,중하,3,83%,83%,5%,6%,4%,2%,기하,2021.07.07,학력평가
2426,27,5,중,3,79%,6%,3%,8%,4%,79%,기하,2021.07.07,학력평가
2427,28,3,중,4,75%,6%,8%,75%,7%,5%,기하,2021.07.07,학력평가
2428,29,25,상,4,41%,59% (주관식),,,,,기하,2021.07.07,학력평가
2429,30,108,최상,4,21%,79% (주관식),,,,,기하,2021.07.07,학력평가
2430,1,4,하,2,92%,2%,2%,2%,92%,1%,확률과통계,2021.06.03,모의평가
2431,2,5,중하,2,88%,2%,3%,3%,4%,88%,확률과통계,2021.06.03,모의평가
2432,3,1,중,3,78%,78%,5%,3%,5%,9%,확률과통계,2021.06.03,모의평가
2433,4,1,중하,3,88%,88%,3%,4%,3%,2%,확률과통계,2021.06.03,모의평가
2434,5,3,중하,3,88%,4%,3%,88%,3%,2%,확률과통계,2021.06.03,모의평가
2435,6,4,중하,3,82%,3%,6%,6%,82%,4%,확률과통계,2021.06.03,모의평가
2436,7,2,중하,3,86%,3%,86%,5%,4%,2%,확률과통계,2021.06.03,모의평가
2437,8,4,중,3,78%,6%,4%,9%,78%,3%,확률과통계,2021.06.03,모의평가
2438,9,5,중,4,78%,4%,6%,6%,6%,78%,확률과통계,2021.06.03,모의평가
2439,10,2,중,4,68%,7%,68%,11%,10%,4%,확률과통계,2021.06.03,모의평가
2440,11,2,중상,4,56%,9%,56%,15%,10%,11%,확률과통계,2021.06.03,모의평가
2441,12,3,중,4,65%,7%,9%,65%,13%,6%,확률과통계,2021.06.03,모의평가
2442,13,5,중,4,61%,6%,7%,11%,14%,61%,확률과통계,2021.06.03,모의평가
2443,14,3,상,4,40%,15%,17%,40%,21%,8%,확률과통계,2021.06.03,모의평가
2444,15,2,최상,4,24%,7%,24%,24%,10%,36%,확률과통계,2021.06.03,모의평가
2445,16,2,중하,3,87%,13% (주관식),,,,,확률과통계,2021.06.03,모의평가
2446,17,11,중하,3,81%,19% (주관식),,,,,확률과통계,2021.06.03,모의평가
2447,18,4,중하,3,80%,20% (주관식),,,,,확률과통계,2021.06.03,모의평가
2448,19,6,중,3,60%,40% (주관식),,,,,확률과통계,2021.06.03,모의평가
2449,20,8,최상,4,25%,75% (주관식),,,,,확률과통계,2021.06.03,모의평가
2450,21,24,최상,4,9%,91% (주관식),,,,,확률과통계,2021.06.03,모의평가
2451,22,61,최상,4,4%,96% (주관식),,,,,확률과통계,2021.06.03,모의평가
2452,23,4,중하,2,88%,3%,3%,4%,88%,1%,확률과통계,2021.06.03,모의평가
2453,24,2,중하,3,89%,2%,89%,4%,3%,2%,확률과통계,2021.06.03,모의평가
2454,25,3,중하,3,83%,4%,5%,83%,5%,3%,확률과통계,2021.06.03,모의평가
2455,26,3,중,3,69%,7%,9%,69%,11%,5%,확률과통계,2021.06.03,모의평가
2456,27,1,중,3,65%,65%,10%,8%,9%,8%,확률과통계,2021.06.03,모의평가
2457,28,5,중,4,64%,8%,6%,9%,13%,64%,확률과통계,2021.06.03,모의평가
2458,29,48,상,4,37%,63% (주관식),,,,,확률과통계,2021.06.03,모의평가
2459,30,47,최상,4,29%,71% (주관식),,,,,확률과통계,2021.06.03,모의평가
2460,1,4,하,2,96%,2%,1%,1%,96%,0%,미적분,2021.06.03,모의평가
2461,2,5,하,2,96%,1%,1%,1%,1%,96%,미적분,2021.06.03,모의평가
2462,3,1,하,3,90%,90%,2%,1%,2%,5%,미적분,2021.06.03,모의평가
2463,4,1,하,3,95%,95%,1%,2%,1%,1%,미적분,2021.06.03,모의평가
2464,5,3,하,3,95%,2%,1%,95%,1%,1%,미적분,2021.06.03,모의평가
2465,6,4,하,3,93%,2%,2%,2%,93%,1%,미적분,2021.06.03,모의평가
2466,7,2,하,3,94%,2%,94%,2%,1%,1%,미적분,2021.06.03,모의평가
2467,8,4,하,3,90%,3%,2%,4%,90%,1%,미적분,2021.06.03,모의평가
2468,9,5,중하,4,88%,2%,4%,3%,3%,88%,미적분,2021.06.03,모의평가
2469,10,2,중하,4,86%,4%,86%,5%,4%,2%,미적분,2021.06.03,모의평가
2470,11,2,중,4,77%,5%,77%,7%,4%,7%,미적분,2021.06.03,모의평가
2471,12,3,중하,4,84%,3%,4%,84%,6%,3%,미적분,2021.06.03,모의평가
2472,13,5,중하,4,82%,3%,3%,5%,7%,82%,미적분,2021.06.03,모의평가
2473,14,3,중상,4,57%,13%,10%,57%,13%,6%,미적분,2021.06.03,모의평가
2474,15,2,상,4,39%,8%,39%,19%,6%,29%,미적분,2021.06.03,모의평가
2475,16,2,하,3,94%,6% (주관식),,,,,미적분,2021.06.03,모의평가
2476,17,11,하,3,91%,9% (주관식),,,,,미적분,2021.06.03,모의평가
2477,18,4,하,3,92%,8% (주관식),,,,,미적분,2021.06.03,모의평가
2478,19,6,중,3,77%,23% (주관식),,,,,미적분,2021.06.03,모의평가
2479,20,8,중상,4,54%,46% (주관식),,,,,미적분,2021.06.03,모의평가
2480,21,24,최상,4,22%,78% (주관식),,,,,미적분,2021.06.03,모의평가
2481,22,61,최상,4,11%,89% (주관식),,,,,미적분,2021.06.03,모의평가
2482,23,2,하,2,95%,3%,95%,1%,1%,1%,미적분,2021.06.03,모의평가
2483,24,2,하,3,92%,3%,92%,2%,2%,1%,미적분,2021.06.03,모의평가
2484,25,4,중,3,79%,3%,3%,12%,79%,4%,미적분,2021.06.03,모의평가
2485,26,3,중하,3,80%,5%,3%,80%,7%,5%,미적분,2021.06.03,모의평가
2486,27,4,중,3,71%,7%,5%,6%,71%,11%,미적분,2021.06.03,모의평가
2487,28,1,중상,4,53%,53%,8%,10%,11%,19%,미적분,2021.06.03,모의평가
2488,29,17,상,4,34%,66% (주관식),,,,,미적분,2021.06.03,모의평가
2489,30,11,최상,4,12%,88% (주관식),,,,,미적분,2021.06.03,모의평가
2490,1,4,하,2,96%,2%,1%,1%,96%,0%,기하,2021.06.03,모의평가
2491,2,5,하,2,94%,1%,2%,1%,2%,94%,기하,2021.06.03,모의평가
2492,3,1,중하,3,86%,86%,3%,1%,3%,7%,기하,2021.06.03,모의평가
2493,4,1,하,3,94%,94%,1%,2%,1%,2%,기하,2021.06.03,모의평가
2494,5,3,하,3,93%,2%,2%,93%,1%,1%,기하,2021.06.03,모의평가
2495,6,4,중하,3,89%,2%,3%,3%,89%,2%,기하,2021.06.03,모의평가
2496,7,2,하,3,92%,3%,92%,2%,2%,1%,기하,2021.06.03,모의평가
2497,8,4,중하,3,87%,4%,2%,6%,87%,2%,기하,2021.06.03,모의평가
2498,9,5,중하,4,86%,2%,4%,4%,4%,86%,기하,2021.06.03,모의평가
2499,10,2,중하,4,81%,5%,81%,7%,5%,2%,기하,2021.06.03,모의평가
2500,11,2,중,4,71%,6%,71%,9%,6%,8%,기하,2021.06.03,모의평가
2501,12,3,중하,4,82%,4%,4%,82%,7%,4%,기하,2021.06.03,모의평가
2502,13,5,중,4,76%,3%,4%,6%,9%,76%,기하,2021.06.03,모의평가
2503,14,3,상,4,49%,15%,12%,49%,18%,6%,기하,2021.06.03,모의평가
2504,15,2,상,4,32%,9%,32%,21%,8%,30%,기하,2021.06.03,모의평가
2505,16,2,하,3,93%,7% (주관식),,,,,기하,2021.06.03,모의평가
2506,17,11,중하,3,89%,11% (주관식),,,,,기하,2021.06.03,모의평가
2507,18,4,중하,3,89%,11% (주관식),,,,,기하,2021.06.03,모의평가
2508,19,6,중,3,73%,27% (주관식),,,,,기하,2021.06.03,모의평가
2509,20,8,상,4,41%,59% (주관식),,,,,기하,2021.06.03,모의평가
2510,21,24,최상,4,18%,82% (주관식),,,,,기하,2021.06.03,모의평가
2511,22,61,최상,4,7%,93% (주관식),,,,,기하,2021.06.03,모의평가
2512,23,2,하,2,93%,3%,93%,2%,2%,1%,기하,2021.06.03,모의평가
2513,24,5,중하,3,88%,2%,2%,3%,4%,88%,기하,2021.06.03,모의평가
2514,25,1,중하,3,85%,85%,3%,4%,5%,2%,기하,2021.06.03,모의평가
2515,26,2,중,3,79%,4%,79%,6%,8%,3%,기하,2021.06.03,모의평가
2516,27,3,중상,3,59%,6%,5%,59%,23%,6%,기하,2021.06.03,모의평가
2517,28,3,중,4,69%,7%,6%,69%,11%,6%,기하,2021.06.03,모의평가
2518,29,80,최상,4,28%,72% (주관식),,,,,기하,2021.06.03,모의평가
2519,30,48,최상,4,11%,89% (주관식),,,,,기하,2021.06.03,모의평가
2520,1,2,중하,2,87%,3%,87%,3%,2%,5%,확률과통계,2021.04.14,학력평가
2521,2,1,하,2,90%,90%,2%,3%,2%,2%,확률과통계,2021.04.14,학력평가
2522,3,5,중하,3,89%,2%,3%,3%,3%,89%,확률과통계,2021.04.14,학력평가
2523,4,4,중하,3,88%,2%,3%,5%,88%,2%,확률과통계,2021.04.14,학력평가
2524,5,3,중하,3,84%,2%,5%,84%,6%,2%,확률과통계,2021.04.14,학력평가
2525,6,4,중,3,74%,3%,13%,7%,74%,3%,확률과통계,2021.04.14,학력평가
2526,7,5,중,3,74%,5%,5%,7%,8%,74%,확률과통계,2021.04.14,학력평가
2527,8,1,중하,3,84%,84%,3%,4%,5%,3%,확률과통계,2021.04.14,학력평가
2528,9,2,중,4,68%,6%,68%,12%,10%,4%,확률과통계,2021.04.14,학력평가
2529,10,3,중하,4,81%,3%,5%,81%,6%,4%,확률과통계,2021.04.14,학력평가
2530,11,3,중,4,61%,12%,11%,61%,9%,7%,확률과통계,2021.04.14,학력평가
2531,12,4,중하,4,85%,2%,3%,5%,85%,4%,확률과통계,2021.04.14,학력평가
2532,13,2,중,4,73%,4%,73%,8%,10%,5%,확률과통계,2021.04.14,학력평가
2533,14,5,상,4,38%,13%,13%,21%,15%,38%,확률과통계,2021.04.14,학력평가
2534,15,3,상,4,32%,7%,6%,32%,13%,42%,확률과통계,2021.04.14,학력평가
2535,16,2,중하,3,88%,12% (주관식),,,,,확률과통계,2021.04.14,학력평가
2536,17,40,중,3,75%,25% (주관식),,,,,확률과통계,2021.04.14,학력평가
2537,18,8,중,3,72%,28% (주관식),,,,,확률과통계,2021.04.14,학력평가
2538,19,16,중,3,62%,38% (주관식),,,,,확률과통계,2021.04.14,학력평가
2539,20,7,상,4,46%,54% (주관식),,,,,확률과통계,2021.04.14,학력평가
2540,21,5,최상,4,28%,72% (주관식),,,,,확률과통계,2021.04.14,학력평가
2541,22,251,최상,4,5%,95% (주관식),,,,,확률과통계,2021.04.14,학력평가
2542,23,5,하,2,92%,2%,2%,2%,2%,92%,확률과통계,2021.04.14,학력평가
2543,24,2,중하,3,88%,2%,88%,4%,4%,2%,확률과통계,2021.04.14,학력평가
2544,25,1,중하,3,80%,80%,4%,8%,5%,3%,확률과통계,2021.04.14,학력평가
2545,26,4,중하,3,86%,4%,3%,5%,86%,2%,확률과통계,2021.04.14,학력평가
2546,27,3,중,3,75%,4%,6%,75%,9%,7%,확률과통계,2021.04.14,학력평가
2547,28,5,중상,4,53%,10%,12%,12%,13%,53%,확률과통계,2021.04.14,학력평가
2548,29,288,상,4,31%,69% (주관식),,,,,확률과통계,2021.04.14,학력평가
2549,30,206,최상,4,10%,90% (주관식),,,,,확률과통계,2021.04.14,학력평가
2550,1,2,하,2,95%,2%,95%,1%,0%,2%,미적분,2021.04.14,학력평가
2551,2,1,하,2,96%,96%,1%,1%,1%,1%,미적분,2021.04.14,학력평가
2552,3,5,하,3,96%,1%,1%,1%,1%,96%,미적분,2021.04.14,학력평가
2553,4,4,하,3,95%,1%,1%,1%,95%,1%,미적분,2021.04.14,학력평가
2554,5,3,하,3,92%,1%,3%,92%,2%,1%,미적분,2021.04.14,학력평가
2555,6,4,중하,3,86%,1%,10%,2%,86%,1%,미적분,2021.04.14,학력평가
2556,7,5,하,3,91%,2%,2%,2%,3%,91%,미적분,2021.04.14,학력평가
2557,8,1,하,3,95%,95%,1%,1%,1%,1%,미적분,2021.04.14,학력평가
2558,9,2,하,4,91%,2%,91%,3%,3%,1%,미적분,2021.04.14,학력평가
2559,10,3,하,4,93%,1%,2%,93%,2%,2%,미적분,2021.04.14,학력평가
2560,11,3,중하,4,80%,7%,6%,80%,3%,4%,미적분,2021.04.14,학력평가
2561,12,4,하,4,95%,1%,1%,1%,95%,2%,미적분,2021.04.14,학력평가
2562,13,2,하,4,91%,2%,91%,3%,3%,2%,미적분,2021.04.14,학력평가
2563,14,5,중상,4,59%,10%,7%,15%,9%,59%,미적분,2021.04.14,학력평가
2564,15,3,상,4,38%,8%,4%,38%,8%,43%,미적분,2021.04.14,학력평가
2565,16,2,하,3,96%,4% (주관식),,,,,미적분,2021.04.14,학력평가
2566,17,40,하,3,91%,9% (주관식),,,,,미적분,2021.04.14,학력평가
2567,18,8,중하,3,89%,11% (주관식),,,,,미적분,2021.04.14,학력평가
2568,19,16,중하,3,82%,18% (주관식),,,,,미적분,2021.04.14,학력평가
2569,20,7,중,4,69%,31% (주관식),,,,,미적분,2021.04.14,학력평가
2570,21,5,상,4,45%,55% (주관식),,,,,미적분,2021.04.14,학력평가
2571,22,251,최상,4,11%,89% (주관식),,,,,미적분,2021.04.14,학력평가
2572,23,5,하,2,95%,2%,1%,2%,1%,95%,미적분,2021.04.14,학력평가
2573,24,1,중하,3,85%,85%,7%,4%,3%,2%,미적분,2021.04.14,학력평가
2574,25,4,중하,3,88%,5%,2%,3%,88%,1%,미적분,2021.04.14,학력평가
2575,26,2,중,3,77%,7%,77%,7%,5%,4%,미적분,2021.04.14,학력평가
2576,27,3,중,3,61%,6%,8%,61%,12%,13%,미적분,2021.04.14,학력평가
2577,28,3,상,4,47%,12%,10%,47%,20%,11%,미적분,2021.04.14,학력평가
2578,29,18,상,4,33%,67% (주관식),,,,,미적분,2021.04.14,학력평가
2579,30,13,최상,4,10%,90% (주관식),,,,,미적분,2021.04.14,학력평가
2580,1,2,하,2,93%,2%,93%,2%,1%,2%,기하,2021.04.14,학력평가
2581,2,1,하,2,95%,95%,1%,2%,1%,1%,기하,2021.04.14,학력평가
2582,3,5,하,3,94%,2%,2%,2%,2%,94%,기하,2021.04.14,학력평가
2583,4,4,하,3,94%,1%,2%,2%,94%,1%,기하,2021.04.14,학력평가
2584,5,3,하,3,90%,1%,4%,90%,3%,2%,기하,2021.04.14,학력평가
2585,6,4,중하,3,83%,2%,11%,3%,83%,2%,기하,2021.04.14,학력평가
2586,7,5,중하,3,86%,3%,3%,4%,4%,86%,기하,2021.04.14,학력평가
2587,8,1,하,3,92%,92%,2%,2%,2%,1%,기하,2021.04.14,학력평가
2588,9,2,중하,4,82%,3%,82%,6%,5%,3%,기하,2021.04.14,학력평가
2589,10,3,중하,4,89%,2%,3%,89%,3%,3%,기하,2021.04.14,학력평가
2590,11,3,중,4,73%,9%,8%,73%,5%,5%,기하,2021.04.14,학력평가
2591,12,4,하,4,92%,1%,2%,3%,92%,3%,기하,2021.04.14,학력평가
2592,13,2,중하,4,85%,2%,85%,4%,5%,3%,기하,2021.04.14,학력평가
2593,14,5,중상,4,51%,12%,10%,16%,11%,51%,기하,2021.04.14,학력평가
2594,15,3,상,4,35%,8%,5%,35%,10%,42%,기하,2021.04.14,학력평가
2595,16,2,하,3,93%,7% (주관식),,,,,기하,2021.04.14,학력평가
2596,17,40,중하,3,86%,14% (주관식),,,,,기하,2021.04.14,학력평가
2597,18,8,중하,3,84%,16% (주관식),,,,,기하,2021.04.14,학력평가
2598,19,16,중,3,75%,25% (주관식),,,,,기하,2021.04.14,학력평가
2599,20,7,중,4,62%,38% (주관식),,,,,기하,2021.04.14,학력평가
2600,21,5,상,4,38%,62% (주관식),,,,,기하,2021.04.14,학력평가
2601,22,251,최상,4,6%,94% (주관식),,,,,기하,2021.04.14,학력평가
2602,23,1,하,2,93%,93%,2%,3%,2%,1%,기하,2021.04.14,학력평가
2603,24,3,중하,3,89%,2%,3%,89%,4%,3%,기하,2021.04.14,학력평가
2604,25,2,중하,3,89%,2%,89%,3%,4%,2%,기하,2021.04.14,학력평가
2605,26,4,중하,3,87%,2%,3%,4%,87%,3%,기하,2021.04.14,학력평가
2606,27,5,중하,3,81%,3%,4%,6%,6%,81%,기하,2021.04.14,학력평가
2607,28,5,중상,4,56%,7%,11%,12%,13%,56%,기하,2021.04.14,학력평가
2608,29,115,최상,4,12%,88% (주관식),,,,,기하,2021.04.14,학력평가
2609,30,63,최상,4,11%,89% (주관식),,,,,기하,2021.04.14,학력평가
2610,1,2,하,2,90%,4%,90%,3%,2%,1%,확률과통계,2021.03.25,학력평가
2611,2,1,중하,2,89%,89%,3%,3%,3%,2%,확률과통계,2021.03.25,학력평가
2612,3,4,중,3,77%,7%,7%,7%,77%,2%,확률과통계,2021.03.25,학력평가
